time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.235062,-0.0132,0.0086,0.0593,0.061
6.254027,-0.0227,0.0087,0.0497,0.055
6.273664,-0.0034,-0.0009,0.0401,0.040
6.295257,-0.0131,-0.0153,0.0305,0.037
6.313791,-0.0130,-0.0106,0.0210,0.027
6.334574,-0.0226,-0.0199,0.0305,0.043
6.353239,-0.0082,-0.0006,0.0497,0.050
6.374645,-0.0225,0.0042,0.0305,0.038
6.393497,-0.0034,-0.0051,0.0449,0.045
6.415952,-0.0176,0.0095,0.0401,0.045
6.434864,-0.0176,0.0048,0.0353,0.040
6.452938,-0.0172,0.0001,0.0497,0.053
6.475303,-0.0076,0.0047,0.0449,0.046
6.497044,-0.0029,-0.0049,0.0353,0.036
6.514011,-0.0220,0.0141,0.0353,0.044
6.531627,-0.0077,-0.0050,0.0641,0.065
6.554004,-0.0174,-0.0097,0.0401,0.045
6.576409,-0.0175,-0.0049,0.0353,0.040
6.593219,-0.0080,0.0096,0.0210,0.024
6.615926,-0.0128,-0.0048,0.0353,0.038
6.630380,-0.0129,-0.0002,0.0306,0.033
6.655945,-0.0177,0.0045,0.0497,0.053
6.670360,-0.0225,0.0045,0.0497,0.055
6.693739,-0.0228,-0.0145,0.0545,0.061
6.709241,-0.0275,0.0095,0.0306,0.042
6.738687,-0.0039,-0.0000,0.0024,0.005
6.748971,-0.0038,-0.0047,0.0258,0.026
6.772813,-0.0233,0.0001,0.0210,0.031
6.788814,-0.0136,-0.0002,0.0210,0.025
6.813407,-0.0182,-0.0003,0.0545,0.057
6.828677,-0.0180,-0.0050,0.0545,0.058
6.852605,-0.0133,-0.0050,0.0258,0.029
6.867976,-0.0183,0.0046,0.0162,0.025
6.887943,-0.0039,-0.0051,0.0210,0.022
6.906952,-0.0230,-0.0195,0.0497,0.058
6.929711,-0.0084,-0.0002,0.0449,0.046
6.947200,-0.0083,-0.0096,0.0353,0.038
6.969893,-0.0033,-0.0096,0.0497,0.051
6.986651,-0.0177,0.0001,0.0545,0.057
7.008524,-0.0079,0.0001,0.0449,0.046
7.026535,-0.0173,-0.0096,0.0210,0.029
7.048391,-0.0126,-0.0190,0.0353,0.042
7.066079,-0.0076,0.0049,0.0401,0.041
7.087974,-0.0124,0.0048,0.0545,0.056
7.105680,-0.0124,0.0097,0.0449,0.048
7.127444,-0.0081,-0.0046,0.0258,0.027
7.146179,-0.0033,0.0001,0.0114,0.012
7.166227,-0.0125,0.0049,0.0497,0.051
7.187884,-0.0126,0.0049,0.0306,0.033
7.206834,-0.0127,0.0147,0.0353,0.040
7.227150,-0.0126,0.0000,0.0641,0.065
7.246306,-0.0126,-0.0097,0.0449,0.048
7.267101,-0.0125,-0.0046,0.0449,0.047
7.286653,-0.0122,0.0050,0.0449,0.047
7.304738,-0.0172,0.0003,0.0449,0.048
7.324634,-0.0219,-0.0044,0.0497,0.055
7.345377,-0.0219,0.0004,0.0593,0.063
7.367183,-0.0217,0.0005,0.0497,0.054
7.383905,-0.0073,0.0008,0.0354,0.036
7.402975,-0.0262,0.0103,0.0449,0.053
7.423318,-0.0311,0.0006,0.0449,0.055
7.447021,-0.0163,0.0103,0.0210,0.029
7.468772,-0.0162,0.0008,0.0210,0.026
7.481960,-0.0163,0.0055,0.0401,0.044
7.501941,-0.0072,0.0055,0.0497,0.051
7.521858,-0.0167,0.0102,0.0306,0.036
7.546782,-0.0212,0.0101,0.0066,0.024
7.561680,-0.0067,0.0003,0.0497,0.050
7.581774,-0.0066,-0.0046,0.0449,0.046
7.600620,-0.0255,0.0099,0.0497,0.057
7.620575,-0.0108,0.0001,0.0545,0.056
7.639954,-0.0105,-0.0045,0.0257,0.028
7.659810,-0.0151,-0.0045,0.0401,0.043
7.679884,-0.0148,-0.0085,0.0497,0.053
7.699414,-0.0051,-0.0084,0.0305,0.032
7.719305,-0.0100,0.0006,0.0401,0.041
7.738968,-0.0147,0.0054,0.0497,0.052
7.758770,-0.0011,0.0006,0.0258,0.026
7.778726,-0.0146,0.0006,0.0401,0.043
7.798382,-0.0106,-0.0133,0.0497,0.053
7.818050,-0.0151,-0.0132,0.0449,0.049
7.838024,-0.0198,-0.0085,0.0401,0.046
7.858080,-0.0054,0.0053,0.0353,0.036
7.878007,-0.0099,0.0004,0.0497,0.051
7.897725,-0.0148,0.0004,0.0449,0.047
7.917901,-0.0100,-0.0037,0.0449,0.046
7.937676,-0.0051,-0.0037,0.0401,0.041
7.957377,-0.0194,0.0051,0.0449,0.049
7.976786,-0.0291,0.0003,0.0593,0.066
7.996700,-0.0098,-0.0132,0.0449,0.048
8.017306,-0.0145,0.0010,0.0305,0.034
8.036735,0.0001,-0.0039,0.0401,0.040
8.057765,-0.0049,0.0053,0.0305,0.031
